epoch,num_coop,num_defect
2960,6397,3
2970,6397,3
2980,6397,3
2990,6397,3
3000,6397,3
3010,6397,3
3020,6397,3
3030,6397,3
3040,6397,3
3050,6397,3
3060,6397,3
3070,6397,3
3080,6397,3
3090,6397,3
3100,6397,3
3110,6397,3
3120,6397,3
3130,6397,3
3140,6397,3
3150,6397,3
3160,6397,3
3170,6397,3
3180,6397,3
3190,6397,3
3200,6397,3
3210,6397,3
3220,6397,3
3230,6397,3
3240,6397,3
3250,6397,3
3260,6397,3
3270,6397,3
3280,6397,3
3290,6397,3
3300,6397,3
3310,6397,3
3320,6397,3
3330,6397,3
3340,6397,3
3350,6397,3
3360,6397,3
3370,6397,3
3380,6397,3
3390,6397,3
3400,6397,3
3410,6397,3
3420,6397,3
3430,6397,3
3440,6397,3
3450,6397,3
3460,6397,3
3470,6397,3
3480,6397,3
3490,6397,3
3500,6397,3
3510,6397,3
3520,6397,3
3530,6397,3
3540,6397,3
3550,6397,3
3560,6397,3
3570,6397,3
3580,6397,3
3590,6397,3
3600,6397,3
3610,6397,3
3620,6397,3
3630,6397,3
3640,6397,3
3650,6397,3
3660,6397,3
3670,6397,3
3680,6397,3
3690,6397,3
3700,6397,3
3710,6397,3
3720,6397,3
3730,6397,3
3740,6397,3
3750,6397,3
3760,6397,3
3770,6397,3
3780,6397,3
3790,6397,3
3800,6397,3
3810,6397,3
3820,6397,3
3830,6397,3
3840,6397,3
3850,6397,3
3860,6397,3
3870,6397,3
3880,6397,3
3890,6397,3
3900,6397,3
3910,6397,3
3920,6397,3
3930,6397,3
3940,6397,3
3950,6397,3
3960,6397,3
3970,6397,3
3980,6397,3
3990,6397,3
4000,6397,3
4010,6397,3
4020,6397,3
4030,6397,3
4040,6397,3
4050,6397,3
4060,6397,3
4070,6397,3
4080,6397,3
4090,6397,3
4100,6397,3
4110,6397,3
4120,6397,3
4130,6397,3
4140,6397,3
4150,6397,3
4160,6397,3
4170,6397,3
4180,6397,3
4190,6397,3
4200,6397,3
4210,6397,3
4220,6397,3
4230,6397,3
4240,6397,3
4250,6397,3
4260,6397,3
4270,6397,3
4280,6397,3
4290,6397,3
4300,6397,3
4310,6397,3
4320,6397,3
4330,6397,3
4340,6397,3
4350,6397,3
4360,6397,3
4370,6397,3
4380,6397,3
4390,6397,3
4400,6397,3
4410,6397,3
4420,6397,3
4430,6397,3
4440,6397,3
4450,6397,3
4460,6397,3
4470,6397,3
4480,6397,3
4490,6397,3
4500,6397,3
4510,6397,3
4520,6397,3
4530,6397,3
4540,6397,3
4550,6397,3
4560,6397,3
4570,6397,3
4580,6397,3
4590,6397,3
4600,6397,3
4610,6397,3
4620,6397,3
4630,6397,3
4640,6397,3
4650,6397,3
4660,6397,3
4670,6397,3
4680,6397,3
4690,6397,3
4700,6397,3
4710,6397,3
4720,6397,3
4730,6397,3
4740,6397,3
4750,6397,3
4760,6397,3
4770,6397,3
4780,6397,3
4790,6397,3
4800,6397,3
4810,6397,3
4820,6397,3
4830,6397,3
4840,6397,3
4850,6397,3
4860,6397,3
4870,6397,3
4880,6397,3
4890,6397,3
4900,6397,3
4910,6397,3
4920,6397,3
4930,6397,3
4940,6397,3
4950,6397,3
4960,6397,3
4970,6397,3
4980,6397,3
4990,6397,3
