epoch,num_coop,num_defect
0,4119,2281
10,4964,1436
20,5422,978
30,5816,584
40,6023,377
50,6129,271
60,6214,186
70,6224,176
80,6247,153
90,6256,144
100,6295,105
110,6301,99
120,6352,48
130,6351,49
140,6357,43
150,6378,22
160,6370,30
170,6384,16
180,6388,12
190,6377,23
200,6380,20
210,6391,9
220,6385,15
230,6383,17
240,6390,10
250,6389,11
260,6395,5
270,6396,4
280,6397,3
290,6397,3
300,6397,3
310,6397,3
320,6397,3
330,6397,3
340,6397,3
350,6397,3
360,6397,3
370,6397,3
380,6397,3
390,6397,3
400,6397,3
410,6397,3
420,6397,3
430,6397,3
440,6397,3
450,6397,3
460,6397,3
470,6397,3
480,6397,3
490,6397,3
500,6397,3
510,6397,3
520,6397,3
530,6397,3
540,6397,3
550,6397,3
560,6397,3
570,6397,3
580,6397,3
590,6397,3
600,6397,3
610,6397,3
620,6397,3
630,6397,3
640,6397,3
650,6397,3
660,6397,3
670,6397,3
680,6397,3
690,6397,3
700,6397,3
710,6397,3
720,6397,3
730,6397,3
740,6397,3
750,6397,3
760,6397,3
770,6397,3
780,6397,3
790,6397,3
800,6397,3
810,6397,3
820,6397,3
830,6397,3
840,6397,3
850,6397,3
860,6397,3
870,6397,3
880,6397,3
890,6397,3
900,6397,3
910,6397,3
920,6397,3
930,6397,3
940,6397,3
950,6397,3
960,6397,3
970,6397,3
980,6397,3
990,6397,3
1000,6397,3
1010,6397,3
1020,6397,3
1030,6397,3
1040,6397,3
1050,6397,3
1060,6397,3
1070,6397,3
1080,6397,3
1090,6397,3
1100,6397,3
1110,6397,3
1120,6397,3
1130,6397,3
1140,6397,3
1150,6397,3
1160,6397,3
1170,6397,3
1180,6397,3
1190,6397,3
1200,6397,3
1210,6397,3
1220,6397,3
1230,6397,3
1240,6397,3
1250,6397,3
1260,6397,3
1270,6397,3
1280,6397,3
1290,6397,3
1300,6397,3
1310,6397,3
1320,6397,3
1330,6397,3
1340,6397,3
1350,6397,3
1360,6397,3
1370,6397,3
1380,6397,3
1390,6397,3
1400,6397,3
1410,6397,3
1420,6397,3
1430,6397,3
1440,6397,3
1450,6397,3
1460,6397,3
1470,6397,3
1480,6397,3
1490,6397,3
1500,6397,3
1510,6397,3
1520,6397,3
1530,6397,3
1540,6397,3
1550,6397,3
1560,6397,3
1570,6397,3
1580,6397,3
1590,6397,3
1600,6397,3
1610,6397,3
1620,6397,3
1630,6397,3
1640,6397,3
1650,6397,3
1660,6397,3
1670,6397,3
1680,6397,3
1690,6397,3
1700,6397,3
1710,6397,3
1720,6397,3
1730,6397,3
1740,6397,3
1750,6397,3
1760,6397,3
1770,6397,3
1780,6397,3
1790,6397,3
1800,6397,3
1810,6397,3
1820,6397,3
1830,6397,3
1840,6397,3
1850,6397,3
1860,6397,3
1870,6397,3
1880,6397,3
1890,6397,3
1900,6397,3
1910,6397,3
1920,6397,3
1930,6397,3
1940,6397,3
1950,6397,3
1960,6397,3
1970,6397,3
1980,6397,3
1990,6397,3
2000,6397,3
2010,6397,3
2020,6397,3
2030,6397,3
2040,6397,3
2050,6397,3
2060,6397,3
2070,6397,3
2080,6397,3
2090,6397,3
2100,6397,3
2110,6397,3
2120,6397,3
2130,6397,3
2140,6397,3
2150,6397,3
2160,6397,3
2170,6397,3
2180,6397,3
2190,6397,3
2200,6397,3
2210,6397,3
2220,6397,3
2230,6397,3
2240,6397,3
2250,6397,3
2260,6397,3
2270,6397,3
2280,6397,3
2290,6397,3
2300,6397,3
2310,6397,3
2320,6397,3
2330,6397,3
2340,6397,3
2350,6397,3
2360,6397,3
2370,6397,3
2380,6397,3
2390,6397,3
2400,6397,3
2410,6397,3
2420,6397,3
2430,6397,3
2440,6397,3
2450,6397,3
2460,6397,3
2470,6397,3
2480,6397,3
2490,6397,3
2500,6397,3
2510,6397,3
2520,6397,3
2530,6397,3
2540,6397,3
2550,6397,3
2560,6397,3
2570,6397,3
2580,6397,3
2590,6397,3
2600,6397,3
2610,6397,3
2620,6397,3
2630,6397,3
2640,6397,3
2650,6397,3
2660,6397,3
2670,6397,3
2680,6397,3
2690,6397,3
2700,6397,3
2710,6397,3
2720,6397,3
2730,6397,3
2740,6397,3
2750,6397,3
2760,6397,3
2770,6397,3
2780,6397,3
2790,6397,3
2800,6397,3
2810,6397,3
2820,6397,3
2830,6397,3
2840,6397,3
2850,6397,3
2860,6397,3
2870,6397,3
2880,6397,3
2890,6397,3
2900,6397,3
2910,6397,3
2920,6397,3
2930,6397,3
2940,6397,3
2950,6397,3
